timestamp,block_height,bits,transaction_count,block_size
2022-05-14 20:13:33.000000 UTC,1667743,1c011eb4,4,4782
2022-05-14 20:12:04.000000 UTC,1667742,1c012206,8,23696
2022-05-14 20:09:30.000000 UTC,1667741,1c012300,12,22028
2022-05-14 20:07:24.000000 UTC,1667740,1c0118da,18,21530
2022-05-14 20:01:38.000000 UTC,1667739,1c01160e,4,7589
2022-05-14 20:00:24.000000 UTC,1667738,1c0114d0,3,4316
2022-05-14 19:59:36.000000 UTC,1667737,1c011459,4,6442
2022-05-14 19:59:00.000000 UTC,1667736,1c010f7d,6,12277
2022-05-14 19:57:53.000000 UTC,1667735,1c011009,14,20605
2022-05-14 19:52:15.000000 UTC,1667734,1c011372,6,9375
2022-05-14 19:50:20.000000 UTC,1667733,1c010b8d,2,1976
2022-05-14 19:49:41.000000 UTC,1667732,1c010f38,2,3873
2022-05-14 19:49:13.000000 UTC,1667731,1c011122,10,15766
2022-05-14 19:47:05.000000 UTC,1667730,1c011b37,2,4087
2022-05-14 19:46:34.000000 UTC,1667729,1c011c70,3,2316
2022-05-14 19:45:16.000000 UTC,1667728,1c011d4e,13,19224
2022-05-14 19:41:50.000000 UTC,1667727,1c012521,1,1714
2022-05-14 19:41:42.000000 UTC,1667726,1c01203a,1,1714
2022-05-14 19:41:25.000000 UTC,1667725,1c011ee7,1,1714
2022-05-14 19:41:22.000000 UTC,1667724,1c011d6b,9,8164
2022-05-14 19:39:39.000000 UTC,1667723,1c0117b2,3,4332
2022-05-14 19:39:13.000000 UTC,1667722,1c0116f8,2,4066
2022-05-14 19:38:28.000000 UTC,1667721,1c011d90,6,9362
2022-05-14 19:36:17.000000 UTC,1667720,1c012319,5,6949
2022-05-14 19:34:36.000000 UTC,1667719,1c012a74,3,6460
2022-05-14 19:33:05.000000 UTC,1667718,1c012d60,10,10004
2022-05-14 19:30:31.000000 UTC,1667717,1c012843,5,9496
2022-05-14 19:29:32.000000 UTC,1667716,1c012b0e,1,1714
2022-05-14 19:29:24.000000 UTC,1667715,1c013948,1,1693
2022-05-14 19:29:18.000000 UTC,1667714,1c013c3c,1,1714
2022-05-14 19:29:07.000000 UTC,1667713,1c013784,1,2671
2022-05-14 19:28:55.000000 UTC,1667712,1c013a2f,9,9144
2022-05-14 19:26:58.000000 UTC,1667711,1c013d0f,8,7647
2022-05-14 19:26:25.000000 UTC,1667710,1c013778,2,1937
2022-05-14 19:25:51.000000 UTC,1667709,1c01395c,1,1693
